B02, Trade, 4319367.843, 64, B02, S07, 1
B02, Trade, 4319375.943, 72, B02, S06, 1
B02, Trade, 4319387.193, 62, S06, B02, 1
B02, Trade, 4319400.243, 61, B02, S05, 1
B02, Trade, 4319411.193, 64, B02, S03, 1
B02, Trade, 4319422.143, 63, B02, S03, 1
B02, Trade, 4319433.343, 61, B02, S00, 1
B02, Trade, 4319438.543, 63, B02, S02, 1
B02, Trade, 4319448.743, 63, B02, S06, 1
B02, Trade, 4319457.193, 60, S06, B02, 1
B02, Trade, 4319480.493, 60, S06, B02, 1
B02, Trade, 4319496.543, 72, B02, S08, 1
B02, Trade, 4319516.593, 62, B02, S07, 1
B02, Trade, 4319519.793, 96, B02, S08, 1
B02, Trade, 4319531.193, 62, B02, S00, 1
B02, Trade, 4319547.143, 62, B02, S04, 1
B02, Trade, 4319554.643, 64, B02, S05, 1
B02, Trade, 4319566.843, 66, B02, S01, 1
B02, Trade, 4319573.543, 62, B02, S01, 1
B02, Trade, 4319584.793, 61, B02, S03, 1
B02, Trade, 4319596.193, 60, B02, S00, 1
B02, Trade, 4319601.393, 63, B02, S00, 1
B02, Trade, 4319608.393, 61, S01, B02, 1
B02, Trade, 4319611.393, 66, S03, B02, 1
B02, Trade, 4319628.543, 140, B02, S03, 1
B02, Trade, 4319630.393, 140, B02, S06, 1
B02, Trade, 4319644.343, 60, B02, S00, 1
B02, Trade, 4319648.693, 61, B02, S08, 1
B02, Trade, 4319655.143, 61, S08, B02, 1
B02, Trade, 4319660.593, 64, S01, B02, 1
B02, Trade, 4319674.243, 66, B02, S03, 1
B02, Trade, 4319681.393, 61, S02, B02, 1
B02, Trade, 4319694.793, 60, S02, B02, 1
B02, Trade, 4319697.343, 61, B02, S06, 1
B02, Trade, 4319705.893, 60, S08, B02, 1
B02, Trade, 4319711.193, 64, S03, B02, 1
B02, Trade, 4319721.693, 60, S08, B02, 1
B02, Trade, 4319730.993, 137, B02, S02, 1
B02, Trade, 4319735.443, 140, B02, S07, 1
B02, Trade, 4319742.543, 140, B02, S06, 1
B02, Trade, 4319748.943, 69, B02, S07, 1
B02, Trade, 4319760.743, 62, B02, S07, 1
B02, Trade, 4319770.693, 60, S01, B02, 1
B02, Trade, 4319772.393, 65, S06, B02, 1
B02, Trade, 4319781.343, 67, B02, S00, 1
B02, Trade, 4319793.893, 63, B02, S08, 1
B02, Trade, 4319795.293, 60, S05, B02, 1
B02, Trade, 4319800.543, 64, B02, S07, 1
B02, Trade, 4319807.943, 60, S02, B02, 1
B02, Trade, 4319818.193, 63, B02, S00, 1
B02, Trade, 4319826.193, 61, S02, B02, 1
B02, Trade, 4319839.643, 64, B02, S01, 1
B02, Trade, 4319848.843, 60, S00, B02, 1
B02, Trade, 4319850.043, 62, B02, S06, 1
B02, Trade, 4319857.693, 60, S08, B02, 1
B02, Trade, 4319870.143, 62, B02, S03, 1
