B02, Trade, 4319860.343, 117, B02, S04, 1
B02, Trade, 4319864.593, 60, S00, B02, 1
B02, Trade, 4319872.243, 133, S01, B02, 1
B02, Trade, 4319876.393, 101, B02, S03, 1
B02, Trade, 4319880.043, 78, S01, B02, 1
B02, Trade, 4319890.093, 126, B02, S00, 1
B02, Trade, 4319904.343, 69, S06, B02, 1
B02, Trade, 4319909.043, 103, S02, B02, 1
B02, Trade, 4319911.943, 125, B02, S09, 1
B02, Trade, 4319916.693, 118, B02, S06, 1
B02, Trade, 4319921.693, 73, B02, S07, 1
B02, Trade, 4319929.193, 120, S04, B02, 1
B02, Trade, 4319934.093, 69, S07, B02, 1
B02, Trade, 4319937.393, 105, S01, B02, 1
B02, Trade, 4319943.593, 132, B02, S06, 1
B02, Trade, 4319949.343, 101, B02, S01, 1
B02, Trade, 4319956.993, 105, B02, S00, 1
B02, Trade, 4319957.543, 111, B02, S09, 1
B02, Trade, 4319971.093, 73, S03, B02, 1
B02, Trade, 4319980.943, 91, B02, S09, 1
B02, Trade, 4319982.243, 109, B02, S00, 1
B02, Trade, 4319996.143, 125, B02, S09, 1
B03, 100
B03, Trade, 4319397.193, 91, S02, B03, 1
B03, Trade, 4319402.593, 115, B03, S09, 1
B03, Trade, 4319407.343, 133, B03, S01, 1
B03, Trade, 4319412.593, 61, S01, B03, 1
B03, Trade, 4319418.593, 61, S07, B03, 1
B03, Trade, 4319425.643, 80, S01, B03, 1
B03, Trade, 4319430.543, 83, B03, S09, 1
B03, Trade, 4319435.693, 87, S01, B03, 1
B03, Trade, 4319447.993, 116, B03, S02, 1
B03, Trade, 4319454.293, 75, B03, S07, 1
B03, Trade, 4319458.693, 126, B03, S04, 1
B03, Trade, 4319470.943, 69, S04, B03, 1
B03, Trade, 4319471.993, 124, B03, S01, 1
B03, Trade, 4319482.093, 139, B03, S03, 1
B03, Trade, 4319486.993, 108, B03, S07, 1
B03, Trade, 4319496.143, 125, B03, S05, 1
B03, Trade, 4319500.843, 106, B03, S06, 1
B03, Trade, 4319507.493, 130, B03, S01, 1
B03, Trade, 4319509.343, 123, B03, S00, 1
B03, Trade, 4319516.343, 120, B03, S00, 1
B03, Trade, 4319518.543, 137, B03, S04, 1
B03, Trade, 4319523.093, 137, B03, S01, 1
B03, Trade, 4319534.143, 117, B03, S07, 1
B03, Trade, 4319542.243, 105, S01, B03, 1
B03, Trade, 4319550.243, 85, B03, S06, 1
B03, Trade, 4319554.243, 100, S03, B03, 1
B03, Trade, 4319560.443, 70, S00, B03, 1
B03, Trade, 4319564.593, 60, S06, B03, 1
B03, Trade, 4319572.743, 119, B03, S01, 1
B03, Trade, 4319576.243, 90, S02, B03, 1
B03, Trade, 4319581.293, 95, S02, B03, 1
B03, Trade, 4319588.993, 125, B03, S07, 1
B03, Trade, 4319596.743, 139, B03, S04, 1
B03, Trade, 4319601.793, 117, S08, B03, 1
B03, Trade, 4319605.593, 128, B03, S05, 1
B03, Trade, 4319610.693, 73, B03, S00, 1
B03, Trade, 4319618.693, 70, B03, S07, 1
B03, Trade, 4319627.493, 95, S08, B03, 1
B03, Trade, 4319631.593, 106, B03, S04, 1
B03, Trade, 4319638.193, 119, B03, S06, 1
B03, Trade, 4319640.993, 60, S09, B03, 1
B03, Trade, 4319650.543, 66, S03, B03, 1
B03, Trade, 4319652.393, 140, B03, S00, 1
B03, Trade, 4319656.693, 116, S02, B03, 1
B03, Trade, 4319667.543, 64, S04, B03, 1
B03, Trade, 4319679.893, 98, B03, S00, 1
B03, Trade, 4319687.243, 106, B03, S00, 1
B03, Trade, 4319696.243, 118, B03, S04, 1
B03, Trade, 4319698.493, 106, B03, S09, 1
B03, Trade, 4319702.793, 61, S09, B03, 1
B03, Trade, 4319708.043, 113, B03, S08, 1
B03, Trade, 4319715.293, 69, S06, B03, 1
B03, Trade, 4319722.793, 63, S09, B03, 1
B03, Trade, 4319741.043, 112, B03, S02, 1
B03, Trade, 4319747.293, 118, B03, S02, 1
B03, Trade, 4319750.743, 127, S01, B03, 1
B03, Trade, 4319755.143, 138, B03, S07, 1
B03, Trade, 4319762.743, 100, B03, S01, 1
B03, Trade, 4319769.193, 73, S08, B03, 1
B03, Trade, 4319773.543, 75, B03, S08, 1
B03, Trade, 4319775.893, 60, S09, B03, 1
B03, Trade, 4319778.993, 71, S06, B03, 1
B03, Trade, 4319784.593, 95, S08, B03, 1
B03, Trade, 4319790.693, 79, B03, S06, 1
B03, Trade, 4319797.843, 75, S00, B03, 1
B03, Trade, 4319803.243, 106, S05, B03, 1
B03, Trade, 4319811.243, 70, B03, S07, 1
B03, Trade, 4319817.243, 133, B03, S04, 1
B03, Trade, 4319820.393, 106, S02, B03, 1
B03, Trade, 4319828.393, 74, S06, B03, 1
B03, Trade, 4319830.093, 61, S00, B03, 1
B03, Trade, 4319838.043, 100, B03, S02, 1
B03, Trade, 4319839.943, 61, S09, B03, 1
B03, Trade, 4319846.143, 61, S07, B03, 1
B03, Trade, 4319853.293, 110, B03, S01, 1
B03, Trade, 4319856.893, 83, S02, B03, 1
B03, Trade, 4319862.893, 95, S02, B03, 1
B03, Trade, 4319869.093, 67, S09, B03, 1
B03, Trade, 4319875.243, 128, B03, S00, 1
B03, Trade, 4319886.743, 68, B03, S01, 1
B03, Trade, 4319894.243, 136, B03, S04, 1
B03, Trade, 4319897.943, 120, B03, S04, 1
B03, Trade, 4319901.343, 99, B03, S04, 1
B03, Trade, 4319906.543, 114, S05, B03, 1
B03, Trade, 4319913.093, 133, B03, S04, 1
B03, Trade, 4319919.243, 70, S02, B03, 1
B03, Trade, 4319921.493, 115, S08, B03, 1
B03, Trade, 4319928.243, 83, B03, S00, 1
B03, Trade, 4319934.143, 70, S04, B03, 1
B03, Trade, 4319935.643, 60, S00, B03, 1
B03, Trade, 4319944.843, 61, S00, B03, 1
B03, Trade, 4319951.343, 124, B03, S03, 1
B03, Trade, 4319961.143, 92, B03, S06, 1
B03, Trade, 4319963.893, 100, B03, S01, 1
B03, Trade, 4319967.293, 135, B03, S04, 1
B03, Trade, 4319974.843, 77, S04, B03, 1
B03, Trade, 4319978.543, 136, B03, S04, 1
B03, Trade, 4319981.993, 132, S05, B03, 1
B03, Trade, 4319991.993, 112, B03, S06, 1
B03, Trade, 4319999.493, 138, B03, S07, 1
B04, 100
B04, Trade, 4319299.243, 107, B04, S09, 1
